gid,move_ply,move_uci,move_time,player_white,player_clock_time,opponent_clock_time,board_position,castling_rights,en_passant_targets,halfmove_clock,n_possible_moves,n_pieces,player_in_check,partition
202201093030742,30,g7g5,0.0,False,30.0,29.0,r1b2rk1/5ppp/p1pb4/1p1n4/3PR3/1BP3Pq/PP3P1P/RNBQ2K1,,,2,47,27,False,202201
202201093142124,30,g7g5,23.0,False,193.0,190.0,r1b2rk1/5ppp/p1pb4/1p1n4/3PR3/1BP3Pq/PP3P1P/RNBQ2K1,,,2,47,27,False,202201
202201093488857,30,g7g5,5.0,False,284.0,265.0,r1b2rk1/5ppp/p1pb4/1p1n4/3PR3/1BP3Pq/PP3P1P/RNBQ2K1,,,2,47,27,False,202201
202201093520261,30,d5f6,72.0,False,583.0,562.0,r1b2rk1/5ppp/p1pb4/1p1n4/3PR3/1BP3Pq/PP3P1P/RNBQ2K1,,,2,47,27,False,202201
202201093604763,30,g7g5,2.0,False,591.0,576.0,r1b2rk1/5ppp/p1pb4/1p1n4/3PR3/1BP3Pq/PP3P1P/RNBQ2K1,,,2,47,27,False,202201
202201093675149,30,g7g5,8.0,False,567.0,483.0,r1b2rk1/5ppp/p1pb4/1p1n4/3PR3/1BP3Pq/PP3P1P/RNBQ2K1,,,2,47,27,False,202201
202201093745308,30,g7g5,2.0,False,115.0,118.0,r1b2rk1/5ppp/p1pb4/1p1n4/3PR3/1BP3Pq/PP3P1P/RNBQ2K1,,,2,47,27,False,202201
202201070206082,30,g7g5,3.0,False,197.0,155.0,r1b2rk1/5ppp/p1pb4/1p1n4/3PR3/1BP3Pq/PP3P1P/RNBQ2K1,,,2,47,27,False,202201
202201070389945,30,f7f5,45.0,False,139.0,143.0,r1b2rk1/5ppp/p1pb4/1p1n4/3PR3/1BP3Pq/PP3P1P/RNBQ2K1,,,2,47,27,False,202201
202201048296453,30,g7g5,20.0,False,193.0,105.0,r1b2rk1/5ppp/p1pb4/1p1n4/3PR3/1BP3Pq/PP3P1P/RNBQ2K1,,,2,47,27,False,202201
202201048501393,30,g7g5,14.0,False,182.0,184.0,r1b2rk1/5ppp/p1pb4/1p1n4/3PR3/1BP3Pq/PP3P1P/RNBQ2K1,,,2,47,27,False,202201
202201048711627,30,g7g5,7.0,False,160.0,160.0,r1b2rk1/5ppp/p1pb4/1p1n4/3PR3/1BP3Pq/PP3P1P/RNBQ2K1,,,2,47,27,False,202201
202201048775432,30,g7g5,8.0,False,156.0,145.0,r1b2rk1/5ppp/p1pb4/1p1n4/3PR3/1BP3Pq/PP3P1P/RNBQ2K1,,,2,47,27,False,202201
202201048865540,30,g7g5,5.0,False,168.0,167.0,r1b2rk1/5ppp/p1pb4/1p1n4/3PR3/1BP3Pq/PP3P1P/RNBQ2K1,,,2,47,27,False,202201
202201077045678,30,g7g5,8.0,False,49.0,41.0,r1b2rk1/5ppp/p1pb4/1p1n4/3PR3/1BP3Pq/PP3P1P/RNBQ2K1,,,2,47,27,False,202201
202201077346310,30,f7f5,29.0,False,43.0,43.0,r1b2rk1/5ppp/p1pb4/1p1n4/3PR3/1BP3Pq/PP3P1P/RNBQ2K1,,,2,47,27,False,202201
202201077411616,30,g7g5,3.0,False,286.0,239.0,r1b2rk1/5ppp/p1pb4/1p1n4/3PR3/1BP3Pq/PP3P1P/RNBQ2K1,,,2,47,27,False,202201
